t,pose,hand_l,hand_r,v_wrist_l,v_wrist_r,v_index_l,v_index_r,v_avg
0.1,False,False,False,0.0,0.0,0.0,0.0,0.0
0.2,False,False,False,0.0,0.0,0.0,0.0,0.0
0.3,False,False,False,0.0,0.0,0.0,0.0,0.0
0.4,False,False,False,0.0,0.0,0.0,0.0,0.0
0.5,False,False,False,0.0,0.0,0.0,0.0,0.0
0.6,False,False,False,0.0,0.0,0.0,0.0,0.0
0.7,False,False,False,0.0,0.0,0.0,0.0,0.0
0.8,False,False,False,0.0,0.0,0.0,0.0,0.0
0.9,False,False,False,0.0,0.0,0.0,0.0,0.0
1.0,False,False,False,0.0,0.0,0.0,0.0,0.0
1.1,False,False,False,0.0,0.0,0.0,0.0,0.0
1.2,False,False,False,0.0,0.0,0.0,0.0,0.0
1.3,False,False,False,0.0,0.0,0.0,0.0,0.0
1.4,False,False,False,0.0,0.0,0.0,0.0,0.0
1.5,False,False,False,0.0,0.0,0.0,0.0,0.0
1.6,False,False,False,0.0,0.0,0.0,0.0,0.0
1.7,False,False,False,0.0,0.0,0.0,0.0,0.0
1.8,False,False,False,0.0,0.0,0.0,0.0,0.0
1.9,False,False,False,0.0,0.0,0.0,0.0,0.0
2.0,False,False,False,0.0,0.0,0.0,0.0,0.0
2.1,False,False,False,0.0,0.0,0.0,0.0,0.0
2.2,False,False,False,0.0,0.0,0.0,0.0,0.0
2.3,False,False,False,0.0,0.0,0.0,0.0,0.0
2.4,False,False,False,0.0,0.0,0.0,0.0,0.0
2.5,False,False,False,0.0,0.0,0.0,0.0,0.0
2.6,False,False,False,0.0,0.0,0.0,0.0,0.0
2.7,False,False,False,0.0,0.0,0.0,0.0,0.0
2.8,False,False,False,0.0,0.0,0.0,0.0,0.0
2.9,False,False,False,0.0,0.0,0.0,0.0,0.0
3.0,False,False,False,0.0,0.0,0.0,0.0,0.0
3.1,True,False,False,0.0,0.0,0.0,0.0,0.0
3.2,True,False,False,0.014179502722211669,0.01653908648899317,0.0,0.0,0.01535929460560242
3.3,True,False,False,0.015149152646578509,0.009745771118860236,0.0,0.0,0.012447461882719373
3.4,True,False,False,0.01674006642630956,0.031045843948248955,0.0,0.0,0.023892955187279255
3.5,True,False,False,0.09931296134543169,0.016245567164975324,0.0,0.0,0.05777926425520351
3.6,True,False,False,0.05123955246262193,0.016279259733246686,0.0,0.0,0.033759406097934305
3.7,True,False,False,0.1885304960047575,0.09823242745619995,0.0,0.0,0.14338146173047872
3.8,True,False,False,0.24585626860813248,0.16344925052150283,0.0,0.0,0.20465275956481765
3.9,True,True,True,0.1551523014590679,0.10472976049449366,0.0,0.0,0.12994103097678078
4.0,True,True,True,0.06015472186710078,0.031114462159061967,0.013581725824402025,0.04784997886258538,0.03817522217828754
4.1,True,True,True,0.003111114748438193,0.005817925814622646,0.011616309383666956,0.011332734296337776,0.007969521060766392
4.2,True,True,True,0.04923956764755952,0.018041160554993437,0.004065947086820735,0.00493720914310431,0.0190709711081195
4.3,True,True,True,0.02383032457409847,0.008734356002900212,0.006271789029084588,0.026058160366055415,0.01622365749303467
4.4,True,True,True,0.020037522215683494,0.027908208045099827,0.007966192264508915,0.00784089933159271,0.015938205464221235
4.5,True,True,True,0.025301588952780778,0.011506921400764222,0.0027738248197581965,0.02550662895760202,0.016272241032726304
4.6,True,True,True,0.03245172169058721,0.025835485233323748,0.0008262824242606616,0.013723167368554537,0.018209164179181538
4.7,True,True,True,0.03029883308536363,0.013454252119434641,0.0017456914684912544,0.02108030196383757,0.016644769659281775
4.8,True,True,True,0.01063184355618048,0.0072844243576914245,0.002946060616212678,0.0030202333186390607,0.005970640462180911
4.9,True,True,True,0.03571368916326908,0.0029557732016709326,0.0033508713359911815,0.004366440325443437,0.011596693506593658
5.0,True,False,True,0.01839360966395388,0.036151381200907544,0.0,0.14541216103320392,0.06665238396602179
5.1,True,False,False,0.14087004397429564,0.11291210691062316,0.0,0.0,0.1268910754424594
5.2,True,False,False,0.10332877539595708,0.2321962799450731,0.0,0.0,0.16776252767051508
5.3,True,False,False,0.07746487182596058,0.11396703917033692,0.0,0.0,0.09571595549814875
5.4,True,False,False,0.013016744187625998,0.034027019028212147,0.0,0.0,0.02352188160791907
5.5,True,False,False,0.020025407696326925,0.049473713170092345,0.0,0.0,0.034749560433209634
5.6,True,False,False,0.0033329411369110943,0.015431949767866406,0.0,0.0,0.009382445452388751
5.7,True,False,False,0.011974943627844086,0.008900634279447166,0.0,0.0,0.010437788953645626
5.8,True,False,False,0.009990068635201473,0.015526462947198272,0.0,0.0,0.012758265791199873
5.9,True,False,False,0.0026955301737415084,0.07051523409117924,0.0,0.0,0.036605382132460375
6.0,True,False,False,0.015627877911551732,0.08054600199337757,0.0,0.0,0.04808693995246465
6.1,True,False,False,0.024304161253844995,0.10793855191339718,0.0,0.0,0.06612135658362109
6.2,True,False,False,0.10356117080889884,0.021822002826665958,0.0,0.0,0.0626915868177824
6.3,True,False,False,0.09700396306406023,0.15139463525356833,0.0,0.0,0.12419929915881428
6.4,True,False,False,0.13111941235113317,0.08984455092990959,0.0,0.0,0.11048198164052138
